title,description,country,topic_categories,view_count,subscriber_count,video_count,keywords
Felipe Neto,"Clique no “inscreva-se”, é mágico!",BR,"['https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Video_game_culture', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Entertainment']",17091273891,45800000,4532,"felipeneto felipe neto comédia vídeo engraçado ""irmaos neto"""
ABS-CBN Entertainment,"Watch your favorite entertainment shows from the leading television network!

Subscribe to ABS-CBN Entertainment channel! - https://bit.ly/ABS-CBNEntertainment

Visit our official websites!
https://entertainment.abs-cbn.com/tv/home
https://www.push.com.ph

Facebook: 
https://www.facebook.com/ABSCBNnetwork

Twitter: 
https://twitter.com/ABSCBN

Instagram: 
https://instagram.com/abscbn",PH,[],51270965243,45800000,202898,"ABSCBN ""ABS CBN"" ABS ""ABS-CBN Entertaiment"" Teleseryes Drama Philippines Kapamilya ""Television Network"" ""Media Filipino"" Pinoy ""Talk And Variety"" ""Full Episode"" Trending Top ""Best Of"" ABS-CBN ""Kapamilya Trending"" ""Kapamilya Online Live"" KOL"
Mikecrack,"¡Hola, soy Mikecrack, el Youtuber más prro del mundo! 😁 En mi canal encontrarás vídeos cargado de risas, aventura y emoción todas las semanas! 💎 Estoy aquí para sacarte una sonrisa con los mejores vídeos sobre tus juegos favoritos, canciones, vlogs y experimentos! 

Aquí encontrarás la mejor serie de dibujos animados de Youtube: Las Perrerías de Mike así como los vídeos más divertidos de Minecraft, Roblox, Free Fire, Fortnite y muchas otras series de PVP y Roleplay muy divertidas!
 
¡También hago muchos DIRECTOS, así que te recomiendo suscribirte y activar la campanita para no perdértelos! VIVA EL DIAMANTITO Y EL CHOCOLATEEEE! 😍

¿Quieres contactarme?
✉️ Business: business@diamantitos.com
✉️Correo para Fans:  mikies@diamantitos.com
📄 Página Web: https://www.mikecrack.com/",ES,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Video_game_culture', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Role-playing_video_game']",17279992566,45200000,1962,"mike mikecrack ""mike crack"" mikecraft ""mike craft"" maik minecraft roblox dimensiones directo diamantito ""diamantito 2"" ""minecraft mikecrack"" mocuz ambrozzio ambrosio ambrozio noob ""mike el perro"" PERRERIAS ""las perrerias de mike"" animación roblox ""gta v"" gameplay español"
Shakira,Welcome to Shakira's Official YouTube Channel. Bienvenidos al Canal Oficial de Shakira en Youtube,None,"['https://en.wikipedia.org/wiki/Pop_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Music_of_Latin_America']",28861096769,45000000,338,"shakira ""hips don't lie"" ""whenever wherever"" ""la tortura"" ""las de la intuicion"" ""fijacion oral"" ""waka waka"" chantaje ""el dorado"" eldoradoworldtour shakirafilm"
Você Sabia?,"O Canal Voce Sabia reune as melhores curiosidades, historias e fatos interessantes do mundo. Lukas Marques e Daniel Molo
CONTATO COMERCIAL: contato@projetovs.com

Se ainda nao é inscrito, se inscreva 
e descubra coisas que você sabia ou não. 16/01/19",BR,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Knowledge', 'https://en.wikipedia.org/wiki/Entertainment']",7962918717,45000000,1622,"Curiosidades ""Você Sabia?"" ""Você Sabia"" ""vc sabia"" vs ""10 mais inacreditáveis"" ""10 melhores"" Mistérios Lendas"
Katy Perry,https://www.katyperry.com/,US,"['https://en.wikipedia.org/wiki/Pop_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Entertainment']",25746257988,44500000,134,"""Katy Perry"" Daisies PRISM WITNESS ""Chained To The Rhythm"" ""Teenage Dream"" Live ""Swish Swish"" ""Bon Appetit"" Vevo smile"
Alan Walker,"New album out now -with new songs added every month in 2024 #walkerworld 
",NO,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music', 'https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Electronic_music']",13284219071,44500000,481,"""Alan Walker"" NoCopyrightSounds K-391 Ahrix ""DJ Walkzz"" ""Norwegian Producer"" Broiler Faded Alone Tired The Spectre"
BRIGHT SIDE,"Whether you’re into recent discoveries, space exploration, true stories, fitness, fun tests, and riddles, or useful tips for self-improvement, psychology, gadgets, or just your day-to-day routine, there’s something for everyone!

You can expect all that and more coming at you in 3 top-quality videos every single day. If you’ve got a thirst for knowledge that never quits, then join a community of tens of millions and growing! We have a good time, so take your shoes off, kick back, and make yourself at home here on the Bright Side of life!

Good news! We launched a new app for you 👉 http://bit.ly/Bs3App7
Join the world's largest community of good people! 😉

For brand partnership enquires: brands@thesoul-publishing.com",None,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Entertainment']",10867649964,44500000,6832,"""bright side"" ""bright side videos"" brightside ""brite side"" ""bright side youtube"""
whinderssonnunes,"Lampião do Youtube
Publicidade / Shows / Eventos: kaka@nonstopproducoes.com.br",None,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Entertainment']",4366859882,44400000,661,"""whindersson nunes Whindersson Nunes"" ""WHINDERSSON NUNES"" ""winderson nunes"" ""Whinderson Nunes"" ""Whindersson Nunes"" ""Whindersson nunes Whindersson nunes Whindersson nunes Whindersson nunes"" whindersson"
HolaSoyGerman.,Los Hombres De Verdad Usan Pantuflas De Perrito,CL,"['https://en.wikipedia.org/wiki/Film', 'https://en.wikipedia.org/wiki/Entertainment']",4855308504,43600000,136,holasoygerman hola soy german
Speed Records,"Speed Records, the biggest Punjabi Music Record label in the world combining feet tapping tunes accompanied with vibrant voices as the identifier of Punjabi culture. With best of artistes in Punjabi Music and a huge repertoire of hits, this is your one stop destination for Punjabi Music!

Enjoy & stay connected with us!
► Subscribe to Speed Records : http://bit.ly/SpeedRecords
► Like us on Facebook: https://www.facebook.com/SpeedRecords
► Follow us on Twitter: https://twitter.com/Speed_Records
► Follow us on Instagram: https://instagram.com/speedrecords
► Follow on Snapchat : https://www.snapchat.com/add/speedrecords
Website - http://www.speedrecordsworld.com/",IN,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']",27544247060,43000000,11111,"""speed records"" ""speed recordss"""
Ishtar Music,"Ishtar (previously known as Venus Music) is an Indian music record label company acquired by Believe in 2019. 
This iconic music catalogue company in the Indian music industry was originally a movie and soundtrack production house founded in the 80’s that originated with the manufacturing of audio cassettes. It has created a unique portfolio in the music world with some of the biggest hits from the 1990’s to early 2000’s, building up a huge catalogue of Copyrights in Music of over 700 Hindi and Regional Movies and more than 3000 original titles.  Ishtar today is a market leader in the entertainment industry as a Record Label with worldwide presence, owning one of the biggest YouTube channels in India, providing content to more than 33 million subscribers.
SUBSCRIBE NOW - https://bit.ly/3r04IQv
For Licensing enquiries email: sync-india@believedigital.com
Romantic Songs: http://bit.ly/2bFeNNM | Sad Songs: http://bit.ly/2ch194S
LATEST RELEASE: https://bfan.link/aankh-hai-bhari-bhari-2-0
",IN,"['https://en.wikipedia.org/wiki/Music_of_Asia', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Entertainment']",18625307333,42900000,4516,"venus ""venus music"" ""bollywood songs"" ""bollywood new songs"" ""Latest Hindi Bollywood Songs"" ""new hindi songs"" ""bollywood video songs"" ""hindi video songs"" ""hindi latest songs"" ""90's romantic songs"" ""90's songs hits"" 90's ""90's Evergreen Romantic Love Songs"" ""90's bollywood songs"" ""shahrukh khan"" ""salman khan"" ""akshay kumar"" ""deepika padukone"" ""priyanka chopra"" ""alia bhatt"" ""varun dhawan"" ""ranveer singh"" ""ranbir kapoor"" ""hindi song 2020"" ""Sushant singh rajput"" ""90's hindi Songs"" ""karan johar"""
Kimberly Loaiza,"Hola linduras, gracias por ser parte de esta familia ✨
Contacto: marcaskim@gmail.com 📩",MX,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Technology']",6060358017,43000000,305,moda ropa belleza reto
Like Nastya Show,,US,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Hobby']",19886766251,42600000,651,"toys ""for kids"" funny ""kid's videos"" ""play toys"" dolls ""pretend play"" ""funny videos"" ""family fun"" ""for children"" playing nastya stacy ""stacy toys"""
Rihanna,"It’s hard to believe that Rihanna is only 30 years old. Yet within the 10 years since the start of her musical career, she’s become the youngest solo artist to score 14 No. 1 singles on the Billboard Hot 100 — the fastest to do so — she’s sold more than 54 million albums and 210 million tracks worldwide.
 
Rihanna is the “Best Selling Digital Artist of All Time"" with more than 100 million [RIAA] Gold & Platinum song certifications” and an eight-time Grammy Award winner who also counts 14 Billboard Music Awards among other countless music accolades.
 
Aside from her musical achievements, Rihanna is a bona fide business woman with multiple entrepreneurial ventures. However, most importantly, her undeniable cultural influence has forever imprinted her in history as a global Icon despite her young age.",None,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",23138248772,42400000,84,Rihanna LOUD Rated Rude Boy Only Girl what's my name Umbrella Disturbia SOS music Rehab DefJam Pop
Jess No Limit,SUBSCRIBE! :),ID,"['https://en.wikipedia.org/wiki/Video_game_culture', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",5261037655,42300000,2564,None
Luisito Comunica,"El canal más chido de YouTube

luisitocomunica@wearedw.com",MX,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Society']",9073046473,41400000,1315,"luisitocomunica luisito comunica luisitocomunicaa comunicaa ""luisito comunica"""
shfa2 - شفا,,AE,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Food']",25028457890,41100000,1662,None
Little Baby Bum - Nursery Rhymes & Kids Songs,"Little Baby Bum follows the musical adventures of Mia, Twinkle the Star and Baby Max. Everyday moments like bath time, getting dressed, or playing peekaboo become even more fun with new and classic nursery rhymes.

Little Baby Bum is an animated musical show that celebrates early childhood experiences and supports cognitive development through loveable characters, relatable stories and the magic of song, repetition, rhythm, and rhyme.

FOLLOW
LBB Complete Collection : https://LBB.lnk.to/CompleteCollectionYT!About
LBB Lullabies Complete Collection : https://lnk.to/LBBLullabiesGeneralYT!About
IG @moonbugentertainment : https://www.instagram.com/moonbugentertainment/
FB @MoonbugEntertainment : https://www.facebook.com/MoonbugEntertainment   

Moonbug Entertainment is behind some of the most popular kids’ titles in the world, including global sensations CoComelon, Blippi, Little Baby Bum and many more. Moonbug's titles are available in 27 languages on all major streaming platforms.
",US,"['https://en.wikipedia.org/wiki/Film', 'https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Music']",39710433078,40900000,2507,"lbb ""little baby bum"" ""little baby bum nursery rhymes"" ""baby songs"" ""baby rhymes"" ""little baby bum twinkle"" ""nursery rhymes for babies"" ""baby bum"" ""wheels on the bus"" ""abc song"" ""nursery rhymes"" ""rhymes for babies"" ""twinkle twinkle little star"" ""little baby bum wheels on the bus"" ""little baby bum abc"" ""cartoons for babies"" baby babies toddler ""the wheels on the bus go round and round song"" ""baby routine"" ""baby routine songs"" ""baby time"" ""mummy time"" ""baby max"" mia ""baby tv"" ""0-2 years old"""
LUCCAS NETO - LUCCAS TOON,"Aqui você pode viver o seu sonho.
Use a imaginação e a criatividade para viver um mundo de magia e fantasia!

ASSESSORIA: Assessoria@luccasneto.com.br
LICENCIAMENTO: Licenciamento@luccasneto.com.br
PUBLICIDADE: publicidade@luccasneto.com.br

Todos os episódios são LIVRES para todas as idades.",BR,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Entertainment']",23361101619,40800000,2427,"""luccas neto"" ""luccas toon"" ""os aventureiros"" escola ""vídeo para criança"" ""em português"""
CarryMinati,"I am an Indian comedian, gamer, rapper. 

CarryisLive :  https://www.youtube.com/channel/UC0IW...

Instagram► https://www.instagram.com/carryminati/
Facebook ► https://www.facebook.com/CarryDeol/
Twitter ► https://twitter.com/CarryMinati 
Snapchat► heyAjey

Business Related queries: workforcarry@gmail.com 

About CarryMinati : Youthoob certified member

DISCLAIMER: Please don't go out of your way to  or hate on anyone I talk about in my videos, this channel is to entertain people and I usually focus on joking about what the people are doing in general & not the individual themselves, please don't go spreading hate it's all 
for laughs. For detailed disclaimer please refer to the below link.
https://bit.ly/3iRKHH8",IN,"['https://en.wikipedia.org/wiki/Film', 'https://en.wikipedia.org/wiki/Entertainment']",3491093527,40600000,189,Carryminati|CarryDeol HD|Saste Nashe|Kaala Naag|Indian Gaming|Hindi Commentaries|Carryminati|#Carryminati|Ajey Nagar|Gujjar|Avi Gujjar|Indian Rapaps||
Super Simple Songs - Kids Songs,"Making learning fun and simple!

With billions of views, Super Simple Songs is a trusted resource for parents and teachers around the world. Our library of nursery rhymes, original songs, and animated videos are perfect for children between the ages of 1 and 8. Each video is carefully crafted to engage young viewers and make learning new concepts such as colors, counting, animals and more both fun and simple!

Our channel features a diverse range of fun characters, including: 

• Finny the Shark
• The Bumble Nums
• Caitie from Caitie's Classroom
• The Roundabouts
• Noodle & Pals
• Rhymington Square

Our videos are designed to be engaging and fun, helping children learn new concepts and skills while having a great time.

Whether you're a parent looking for engaging and age-appropriate videos for your child, or a teacher searching for new ways to make learning fun, we've got you covered. Explore our channel and discover the many ways we can help your child learn and grow.
",CA,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Film', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Hobby']",47354903804,40400000,774,"""Kids Songs"" ""Songs for kids"" ""children's songs"" ""nursery rhymes"" ""Twinkle Twinkle Little Star"" ""Wheels On The Bus"" ""Twinkle Twinkle"" ""The Bath Song"" ""This Is The Way"" ""Broccoli Ice Cream"" ""cartoons for kids"" ""cartoons for children"" 英語 kindergarten ""kindergarten songs"" preschool ""preschool songs"" ""childrens songs"" ""English songs for kids"" ""English nursery rhymes"" ESL EFL"
elrubiusOMG,"Bienvenidos a mi canal! Esto es una descripción. Y en la descripción se supone que tengo que poner algo sobre lo que trata mi canal...

PUES BIEN. Mi canal es de Gayplays de Minecr... Wait. No. Mi canal es de Gayplays en general, pero nunca juego a nada predefinido. Algun día os encontrareis con juegos de terror, otro con juegos divertidos, otro juegos indie, etc. pero no solo subo Gayplays! Soy mas conocido por mis montajes ""random"" de GTA V, Skyrim (Que llevo eones sin subir), Garrys Mod, Juegos en 1 minuto y mucho mas!

A veces también me da por trollear y hago montajes de los mejores momentos en Chatroulette, Trollefono, cámaras ocultas, etc. 

A veces también me pongo tierno y os enseño mi lado mas sessy y personal en los Meet The Rubius y los Epic Vlogs.

Mejor me callo y empiezas a descubrir tu de que va el canal. Por que esto de la descripción ya esta pareciendo mas bien la teletienda donde te intento vender la moto. COMPRA MI MOTO.",None,"['https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Action-adventure_game']",7423354076,40300000,701,elrubius rubius elrubiusomg elrubios humor comedia videojuegos juegos chatroulette troll trol troleando risas videos de risa walkthrough gameplay gameplays divertido gta minecraft mejor mejores
Sony PAL,,None,"['https://en.wikipedia.org/wiki/Television_program', 'https://en.wikipedia.org/wiki/Film', 'https://en.wikipedia.org/wiki/Entertainment']",30346078970,40200000,25569,"Raveena Tandon ""Yeh Dil Sun Raha Hai"" ""Piya Basanti Re"" ""Ek Rishta Aisa Bhi"" ""Singhaasan Batteesi"" ""Harami Sister Didi"" ""Tum Saath Ho Jabh Apne"" ""Sony Pal India"" sonypalindia ""Sony paal"" ""Sony PAL"" ""sony pal"" ""yeh pal hamara hai"" ""women empowerment"" women ""nari shakti"" YouTube ""Playlist Video"" ""high quality"" ""High Definition"" HQ HD shows soap drama serials ""Hindi serials"" ""Indian Television"" ""Indian Soaps"" funny comedy ""Channel TV"" primetime India ""prime time"" original ""yeh pal humara hai"""
BETER BÖCÜK,"contact@beterbocukteam.com

Thank you for joining in on the adventures of Toprak and his friends.

For advertising and collaboration requests, please contact:


The content on this channel is protected under local and international laws and may not be used without permission.



टोपरक और उनके दोस्तों के साथ आपकी भागीदारी के लिए धन्यवाद।


Terima kasih telah bergabung dalam petualangan Toprak dan teman-temannya.


Toprak ve arkadaşlarının maceralarına ortak olduğunuz için teşekkür ederiz. 


感谢您参与Toprak和他的朋友的冒险。


Gracias por unirse a las aventuras de Toprak y sus amigos.


شكراً لانضمامكم إلى مغامرات توبراك وأصدقائه.


Agradecemos por você ter se juntado às aventuras de Toprak e seus amigos. 

Vielen Dank, dass Sie an den Abenteuern von Toprak und seinen Freunden teilgenommen haben. 

Nous vous remercions d'avoir participé aux aventures de Toprak et de ses amis. 

Благодарим за то, что вы присоединились к приключениям Топрака и его друзей. 

Toprakと彼の友人たちの冒険に参加していただきありがとうございます。
",TR,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Technology', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",23954876599,40200000,3394,"""#Beterböcük #shorts #Tiktok"""
MrBeast Gaming,MrBeast Gaming - SUBSCRIBE OR ELSE,US,"['https://en.wikipedia.org/wiki/Video_game_culture', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Strategy_video_game']",7062079713,39900000,141,mrbeast gaming mrbeastgaming minecraft
Ricis Official,"Ria Ricis Official Account

Terima kasih sudah menonton. Semoga video yang diupload bisa menghibur kalian ya.

Find me on instagram : 
¬ https://instagram.com/riaricis1795?igshid=YmMyMTA2M2Y=
¬ https://instagram.com/ricisofficial_ytb?igshid=YmMyMTA2M2Y=",ID,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Entertainment']",6744122409,40000000,3374,"""Ria Ricis"" Ricis ""Ricis Official"""
WorkpointOfficial,สถานีความบันเทิงตลอด 24 ชั่วโมง อีกหนึ่งช่องทางเพื่อแฟนรายการของ Workpoint ท่านสามารถดูรายการต่างๆย้อนหลัง และติดตามทุกความเคลื่อนไหวด้านความบันเทิงได้ที่นี่,TH,"['https://en.wikipedia.org/wiki/Television_program', 'https://en.wikipedia.org/wiki/Entertainment']",36915111173,39800000,75804,"ดูทีวีย้อนหลัง รายการทีวี Workpoint WorkpointTV รายการตลก ชิงร้อยชิงล้าน คนอวดผี ""ช่อง 23"""
Goldmines Gaane Sune Ansune,"Goldmines Gaane Sune Ansune takes you on a melodious journey through Indian music. It offers you Music from different genres, be it Soft, Lyrical, Bhangra, Indi - Pop, Bollywood and much more.

We play the right hindi songs that soothe every individual, every occassion and every mood. Soulful sufi, rhythmic retro, intriguing indie- rock, foot - tapping populars, nostalgic classics - Log on to Youtube  and tune in to Gaane Sune Ansune to listen your all time favourites, any time, any day.",IN,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia', 'https://en.wikipedia.org/wiki/Entertainment']",17656799572,39800000,3634,"""old hindi songs"" ganesuneansune ""hindi geet mala"" ""old classic songs"" ""goldmines songs"" filmigane ""bollywood classic songs"" ""kishor kumar songs"" ""lata songs"" ""mukesh songs"" ""Gulzar songs"" ""rd burman music"" ""Gaane Sune Ansune"""
XXXTENTACION,"on youtube I will be gaming with fans and friends and expanding my fanbase beyond comparison, I want to be bigger than an artist or ""rapper"" so feel free to contact me to game on here and to invite me to gaming sessions! add me on skype @makeouthill,

I love you all.",US,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music', 'https://en.wikipedia.org/wiki/Electronic_music', 'https://en.wikipedia.org/wiki/Hip_hop_music']",10639807115,39600000,135,XXXTENTACION
TEDx Talks,"TEDx is an international community that organizes TED-style events anywhere and everywhere -- celebrating locally-driven ideas and elevating them to a global stage. TEDx events are produced independently of TED conferences, each event curates speakers on their own, but based on TED's format and rules.

For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request here: https://media-requests.ted.com.",None,"['https://en.wikipedia.org/wiki/Society', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Knowledge']",7581669967,39600000,205708,"TEDx TED ""TEDx Talks"" Talks Entertainment Design Lectures Education"
GR6 EXPLODE,,BR,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music_of_Latin_America']",26223029842,39600000,3163,None
shfa,"to contact : shfaworld@gmail.com
تابعونا على انستغرام : https://www.instagram.com/shfa_family/ 


",AE,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],22607783986,39500000,1045,شفاء شفا الشفاء
ABP NEWS,"ABP News is a news hub that provides you with comprehensive up-to-date Hindi news coverage from all over India and World. Get the latest Hindi top stories, Hindi Breaking Stories, Hindi live news, current affairs news in Hindi, Sports News in Hindi, Business News in Hindi, Entertainment News in Hindi, politics News in Hindi, astrology News in Hindi, spirituality News in Hindi, and many more here only on #abpnews 

Watch ABP News Live TV and stay tuned for all the breaking news in Hindi !

The vision of the channel is #AapkoRakheAagey  -the promise of keeping each individual ahead and informed. ABP News is best defined as a responsible channel with a fair and balanced approach that combines prompt reporting with insightful analysis of news and current affairs.

ABP News maintains the repute of being a people's channel. It's cutting-edge formats and state-of-the-art newsrooms commanded the attention of 48 million Indians weekly.",IN,[],14231594134,38900000,331142,"""ABP news live"" ""ABP news"" ""abp news"" ""Hindi news"" ""हिंदी न्यूज़"" ""Hindi Samachar"" ""Hindi News"" ""ब्रेकिंग न्यूज़ हिंदी"" ""news today"" ""latest news"" ""live news"" ""PM Modi"" ""ABP News politics"" ""hindi news"" ""latest news live"" ""abp live"" ""political news"" ""abp news hindi"" ""abp live hindi"" ""बड़ी खबरें"" ""Top Headlines"" ""Hindi News"" ""Latest Headlines"" Hoonkar ""election news"" ""election breaking"" ""nitish kumar"" ""PM Modi"" Chandrayaan-3 yogi ""india news"" crime ""sandeep chaudhary"""
ช่อง one31,"ยินดีต้อนรับสู่ช่องวัน 31 
ช่องทีวีที่มีความบันเทิงครบถ้วน
เปลี่ยนวันที่น่าเบื่อของคุณให้สนุกกว่าที่เคย 

ขอรับประกันได้ว่า
เมื่อเข้ามาที่ ช่องวัน 31 คุณจะปวดหัวกว่าปกติ
เพราะคอนเทนต์ของเราจะเสิร์ฟให้คุณทั้งวัน ทุกวัน
เพราะที่นี่ ช่องวันของคุณ

หากใครยังไม่มั่นใจให้กดเข้าไปที่หน้า HOME
เพราะที่นั่นจะมี เพลย์ลิสต์แบบปัง ๆ
ทั้งละครใหม่ ละครดัง รายการตลก และเพลง
ที่นำมาให้คุณตลอดเวลา 

ขอขอบพระคุณทุก ๆ ท่านที่เข้ามาอ่าน
จนถึงตอนนี้ ถ้าจะให้ดีกว่านี้
กด Subscribe เพื่อเป็นกำลังใจ
ให้พวกเราด้วยนะคะ :)
",TH,[],26270881788,38700000,126497,one31 ช่องวัน31 ละครช่องวัน ละครย้อนหลัง ละครช่องวันย้อนหลัง
One Direction,"#10YearsOf1D Listen to your favourite 1D songs here…
https://1D.lnk.to/10YearsOf1DPlaylistsAY",None,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",13774684566,38400000,157,"""one direction"" ""one direction vevo"" ""one direction fireproof"" ""one direction story of my life"" ""one direction lyrics"" ""one direction live"" ""one direction steal my girl"" ""steal my girl"" ""one direction four"" ""one direction 4"" 1d ""1d live"" ""1d lyrics"" ""harry styles"" ""zayne malik"" ""liam payne"" ""nial horan"" ""louis tomlinson"""
YouTube,"YouTube's Official Channel helps you discover what's new & trending globally. Watch must-see videos, from music to culture to Internet phenomena",US,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Entertainment']",3401121387,38400000,790,youtube official channel
Maria Clara & JP,"Sejam bem vindos ao canal da Maria Clara e JP! 
Aqui no nosso canal você encontrará não só vídeos divertidos, mas também úteis e educativos para crianças, ajudando-as a entender a importância da família, da amizade e apoio mútuo.

Instagram: @mariaclara_e_jp 
Facebook: @mariaclaraejp

Muito obrigado a todos vocês que nos acompanham e são inscritos no nosso canal. Amamos vocês❤️

",BR,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Hobby', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",25349858629,38300000,766,"""maria clara e jp"" irmãos infantil criança familia brincadeira diversão kids toys playgrounds family vlog ""pretend play"" dolls ""for children"" funny"
Daddy Yankee,"Icono y rey urbano, este es el canal oficial de música de Daddy Yankee en YouTube.

Daddy Yankee es la estrella de reggaetón, hip hop, pop, urbano y latino detrás de éxitos legendarios como Que Tire Pa' 'Lante, Con Calma, Dura, Gasolina, Despacito, Shaky Shaky , LEGENDADDY y más. También es responsable de los álbumes que definen el género como Barrio Fino.

Suscríbete ahora al canal, dale a la 🔔 y no te pierdas los estrenos oficiales de videos musicales, resúmenes de giras, entrevistas y mucho más.



",US,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Latin_America']",23407628826,38300000,526,"""Daddy Yankee"" Daddy Yankee Reggaeton ""Official Audio"" ""Daddy Yankee Oficial"" ""Music Daddy"" ""Daddy Yankee YouTube"" ""Daddy Yankee Reggaeton"" ""music Daddy Yankee"" ""Daddy y Yankee"" ""daddy yankee bad bunny"" ""dura daddy yankee"" ""daddy yankee ft"" ""con calma"" ""reggaeton top hits"" ""con calma daddy"" ""Exitos daddy yankee"" ""Daddy Yankee Mix"" ""Grandes Exitos Daddy Yankee"" ""Best of Daddy Yankee"" ""Daddy Yankee Greatest Hits"" ""La Ultima Vuelta"" BEACHY gasolina ""reggaeton vieja escuela"" ""old school reggaeton"""
YOLO AVENTURAS,"Retos, bromas y diversión!!
¡Suscríbete para vivir una nueva aventura cada día ✌🏻😎!

CONTACTO - PUBLICIDAD: Yoloaventuras@yolodigital.com",MX,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Entertainment']",11833429462,38400000,1956,"retos bromas diversion tiktok tiktoks ""videos divertidos"" ""24 horas"" mexico argentina yolo ""yolo aventuras"" ""yolo aventura"" ""alejo igoa"" alejo ""fede vigevani"" fede ""kimberly loaiza"" ""luisito comunica"" funny ""tik tok"" challenge"
TheEllenShow,"The place for laughs, joy, stars, surprises, and everything Ellen.",US,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Television_program', 'https://en.wikipedia.org/wiki/Film']",22916087203,38200000,16063,"Ellen DeGeneres ""Ellen Show"" Humor Comedy Funny Celebrity Television Music Interview TV eleveneleven ""Ellen DeGeneres"" ""The Ellen Show"" ""Daytime TV"" ""Talk Show"""
